,Name,Album,Artist,Url
0,The Foxy Song,Nightmares,Skyfixing,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
1,Doxy,american swinging in paris,Phil Woods,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
2,Doxi,Doxi,OG Steever,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
3,Doxy,The Best Of Miles Davis,Miles Davis,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
4,Doxy,"The Argo, Verve & Emarcy Small Group Sessions",Buddy Rich,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
5,Doxy,Doxy,Fat Cats Jazz Band,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
6,Doxy,Soul Bird: Whiffenpoof,Cal Tjader,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
7,Dixie Doodle,A Little Dog Music,Doggy Doo-Wop,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
8,doxy,doxy,Joongle,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
9,Doxy,Taking Care Of Business,Oliver Nelson,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
10,FOXY,MAX PLEASURE,Da Vosk Docta,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
11,Foxy Roxy,1960's Soul: New York to Shreveport,Various Artists,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
12,Doxy,Both Sides Of Midnight,Dexter Gordon,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
13,Doxy,Sonny Rollins's Finest Hour,Sonny Rollins,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
14,Doxy - Parts 1 & 2,Cal Tjader's Greatest Hits,Cal Tjader,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
15,FOXY,FOXY,Da Vosk Docta,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
16,Doxy - live,Monterey Concerts,Cal Tjader,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
17,Doxy,"The Classic Prestige Sessions, 1951-1956",Miles Davis,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
18,Doxy (Sonny Rollins),Echo Jazz Trio,Echo Jazz Trio,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
19,Doxy,Mostly Standards,David Kikoski,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
20,Doxy,I Play Trombone (Remastered 2014),Frank Rosolino,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
21,Doxy,Our Man In Jazz,Sonny Rollins,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
22,IHYTOM,IHYTOM,DOXY,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
23,Doxy,The Count Is In,Rob Parton's Jazztech Big Band,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
24,Crimson Butterfly,Crimson Butterfly,D|K|OXY,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
25,Doxy,The Complete Prestige 10-Inch LP Collection,Miles Davis,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
26,Doxy,Trio Jeepy,Branford Marsalis,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
27,Doxy - Live,The Essential Sonny Rollins: The RCA Years,Sonny Rollins,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
28,Doxy,"EddyBap, Vol. 01",Eddy Mugre,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
29,Airegin,Doxy,Fat Cats Jazz Band,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
30,Foxy,Foxy,DUSS8,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
31,Freakish Light Blues,King Oliver (Doxy Collection),King Oliver & His Orchestra,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
32,Spmn,Spmn,Doksi,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
33,Speciality,bluCity,dochi,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
34,Doxy,Morello Standard Time,Joe Morello,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
35,Let's Fall in Love,Ziggy Elman (Doxy Collection),Ziggy Elman & His Orchestra,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
36,Doxy,Vol. 4: Swinging Sounds,Shelly Manne and His Men,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
37,Doxy,The Complete Prestige Recordings,Sonny Rollins,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
38,Doxy - Playalong Version,"Real Book Standards Backing Tracks, Vol. 41 (Playalong Version)",Midifine Systems,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
39,Légende,Légende,Doxy'z,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
