,Name,Album,Artist,Url
0,Doxy,american swinging in paris,Phil Woods,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
1,The Foxy Song,Nightmares,Skyfixing,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
2,"Foxy, Foxy",Educated Horses,Rob Zombie,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
3,Candy,Broken Silence,Foxy Brown,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
4,Doxi,Doxi,OG Steever,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
5,Dixie Boy,Songs For A Sinking Ship,April Smith and the Great Picture Show,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
6,Dixie Road,Roads Well Traveled,Doyle Lawson & Quicksilver,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
7,Doxy - RVG Remaster,Bags' Groove (Rudy Van Gelder Remaster),Miles Davis,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
8,Helmut Lang,Helmut Lang,Letoa,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
9,Foxy Fakeout,Zootopia (Original Motion Picture Soundtrack),Michael Giacchino,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
10,Dixie,"1949-1953, Vol. 3",Ray Anthony & His Orchestra,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
11,DAISHO,DAISHO,Dozy Doe,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
12,comfy,comfy,ST. NIKLAS,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
13,Doxy,The Best Of Miles Davis,Miles Davis,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
14,"Foxy's Song - ""La Canción de Foxy de Five Nights At Freddy's""",FNAF SUPERNOVA - Mejores Canciones de Five Nights at Freddy's,iTownGameplay,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
15,Doxy,"The Argo, Verve & Emarcy Small Group Sessions",Buddy Rich,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
16,LOCKJAW!,THE EVIL IN WHICH WE THRIVE,SXMPRA,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
17,FROM BELOW,"THE SUMMONER, Pt. 1",Dozy Doe,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
18,Dixie D,"Bangers Only, Vol. 1",Bangers Only,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
19,Doxy,Doxy,Fat Cats Jazz Band,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
20,"Foxy's Song - ""La Canción de Foxy de Five Nights At Freddy's""","Foxy's Song - ""La Canción de Foxy de Five Nights At Freddy's""",iTownGameplay,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
21,2 HOT,"THE SUMMONER, Pt. 1",Dozy Doe,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
22,Dixie Road - Re-Recorded In Stereo,God Bless The USA / Best Of Lee Greenwood,Lee Greenwood,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
23,Who Are We_ (The Dixie Hummingbirds),Gospel Legends,Various Artists,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
24,Tee,Tee,DOXY,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
25,Foxy Dancing,Foxy Dancing,Various Artists,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
26,Roxy Roller - Extended Remix,Rock America,Nick Gilder,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
27,Dixie Doodle,A Little Dog Music,Doggy Doo-Wop,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
28,My Dixie Home,My Dixie Home,Jim Mills,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
29,Dixie,All Will Prosper,Goldmund,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
30,Dosey Doe,Dosey Doe,Jasimi,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
31,Doux-Amer,Doki Doki Blue Skies (Original Game Soundtrack),Blue Dissonance Development,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
32,Dixie,America Sings,The Eric Rogers Chorale and Orchestra,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
33,NO PLAYIN',NO PLAYIN',Dozy Doe,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
34,Doxy,Soul Bird: Whiffenpoof,Cal Tjader,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
35,Dixie-Doodle,Wraymen Unbound,Link Wray,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
36,Deoxy Ribose,Computer Takedown,Frances Experiment,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
37,Sorry,Reggae Anthology: Steely & Clevie - Digital Revolution,Various Artists,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
38,Culpable,Torre de Control,D.OZi,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
39,Doxy,Both Sides Of Midnight,Dexter Gordon,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
