,Name,Album,Artist,Url
0,Doxy,american swinging in paris,Phil Woods,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
1,The Foxy Song,Nightmares,Skyfixing,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
2,Dozy,Astrophysics,Devon Rea,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
3,Candy,Broken Silence,Foxy Brown,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
4,Jamas In Heaven,Trust,Doosi,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
5,I Can't,Chyna Doll,Foxy Brown,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
6,Helmut Lang,Helmut Lang,Letoa,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
7,Foxy Lady,Smokey And The Bandit (Original Motion Picture Soundtrack),Various Artists,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
8,Dixie,"1949-1953, Vol. 3",Ray Anthony & His Orchestra,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
9,Doxy,The Best Of Miles Davis,Miles Davis,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
10,Doxy,"The Argo, Verve & Emarcy Small Group Sessions",Buddy Rich,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
11,comfy,comfy,ST. NIKLAS,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
12,Doxy,Doxy,Fat Cats Jazz Band,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
13,Dozey,Hollow Moon,A L E X,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
14,Doxy,Both Sides Of Midnight,Dexter Gordon,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
15,Tee,Tee,DOXY,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
16,Waterfall,Waterfall,Doxxy,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
17,D3coy (we++er),D3coy (we++er),z3HataK3,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
18,Dozy,Shine On,Pointy Features,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
19,FROM BELOW,"THE SUMMONER, Pt. 1",Dozy Doe,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
20,Doux-Amer,Doki Doki Blue Skies (Original Game Soundtrack),Blue Dissonance Development,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
21,FOXXXY'S,Rattlesnake Gumbo,Nether Hour,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
22,Doxy,Soul Bird: Whiffenpoof,Cal Tjader,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
23,Dozy,Bay Dream,Culture Abuse,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
24,"Foxy's Song - ""La Canción de Foxy de Five Nights At Freddy's""","Foxy's Song - ""La Canción de Foxy de Five Nights At Freddy's""",iTownGameplay,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
25,Doxy,Taking Care Of Business,Oliver Nelson,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
26,Doxy,It's Fine... It's Andy,The Andy Martin Quartet,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
27,Doski,Big Zo 2 (Take the Good),CuzzoMania,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
28,DIXY,DIXY,Vergara Beats,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
29,2 HOT,"THE SUMMONER, Pt. 1",Dozy Doe,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
30,Doxy (Sonny Rollins),Echo Jazz Trio,Echo Jazz Trio,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
31,Doxy,Sonny Rollins's Finest Hour,Sonny Rollins,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
32,NO PLAYIN',NO PLAYIN',Dozy Doe,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
33,Deoxy Ribose,Computer Takedown,Frances Experiment,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
34,Foxy Dancing,Foxy Dancing,Various Artists,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
35,Red Morning,"VIXLATXIN V.A., Vol. 3",Various Artists,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
36,Roxy Roller - Extended Remix,Rock America,Nick Gilder,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
37,Interstellar Love Story,Colorful Dreams,Foxxy Dekay,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
38,Dixie Doodle,A Little Dog Music,Doggy Doo-Wop,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
39,My Dixie Home,My Dixie Home,Jim Mills,https://open.spotify.com/track/0x9pfkYTQChVwwXYZFbjqP
