,Name,Album,Artist,Url
0,The Foxy Song,Nightmares,Skyfixing,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
1,NIGHTMARE,NIGHTMARE,SXMPRA,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
2,OMINOUS,OMINOUS,Dozy Doe,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
3,Doxi,Doxi,OG Steever,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
4,DEVASTATOR,EMERGENCE,XZARKHAN,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
5,irony - demo,Irony (demo),Dosey,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
6,Dixie Boy,Songs For A Sinking Ship,April Smith and the Great Picture Show,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
7,Doki Doki,Doki Doki Literature Club! (Original Soundtrack),Dan Salvato,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
8,"Okay, Everyone!",Doki Doki Literature Club! (Original Soundtrack),Dan Salvato,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
9,Doxy - RVG Remaster,Bags' Groove (Rudy Van Gelder Remaster),Miles Davis,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
10,Doki Doki Forever,Doki Doki Forever,Caleb Hyles,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
11,Dixie Rothko,Half The City,St. Paul & The Broken Bones,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
12,Foxy Fakeout,Zootopia (Original Motion Picture Soundtrack),Michael Giacchino,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
13,Sig. Messia,Sig. Messia,Dotkoi,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
14,NIGHTMARE,THE EVIL IN WHICH WE THRIVE,SXMPRA,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
15,Dixie,"1949-1953, Vol. 3",Ray Anthony & His Orchestra,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
16,DAISHO,DAISHO,Dozy Doe,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
17,Dixie Diamonds,Hard Pills and Heartbreak,Charlie Farley,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
18,Doozy Daisy,Soon Comes Night,Carling & Will,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
19,Doozy - 1966 Album Version,Additions To Further Definitions,Benny Carter,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
20,Doki Doki,Doki Doki,NVTHVN,https://open.spotify.com/track/1KNKmTC64X1j2sJd25j75U
